Ingredient,Ccal,Fats,Proteins,Carbs
"Зерно продовольственное, ячмень",288,"2,4","10,3","56,4"
Зерно твердой пшеницы,304,"2,5",13,"57,5"
Каша гречневая из крупы ядрица,101,"3,4",3,"14,6"
Каша из хлопьев «Геркулес» овсяная,105,4,"2,4","14,8"
Каша манная вязкая,100,"2,9","2,2","16,4"
Каша овсяная,109,"4,1","2,6","15,5"
Каша перловая,135,"3,5","2,9","22,9"
Каша пшеничная рассыпчатая из крупы «Полтавская»,153,"3,6","4,4","25,7"
Каша пшенная,109,"3,4","2,8","16,8"
Каша рисовая,144,"3,5","2,4","25,8"
Каша ячневая,96,"2,9","2,1","15,3"
Клецки из муки высшего сорта,131,"4,1","4,1","19,4"
Котлеты манные,141,"5,3",3,"20,2"
Крахмал кукурузный,343,"0,6",1,"83,5"
Крекеры с отрубями,416,"14,1","9,2","63,2"
Крупа «Артек»,329,"1,2",11,"68,5"
Крупа «Полтавская»,329,"1,3","11,5","67,9"
Крупа гречневая продел,300,"2,3","9,5","60,4"
Крупа гречневая ядрица,308,"3,3","12,6","57,1"
Крупа кукурузная,328,"1,2","8,3",71
Крупа манная,333,1,"10,3","70,6"
Крупа овсяная,342,"6,1","12,3","59,5"
Крупа перловая ячневая,315,"1,1","9,3","66,9"
Крупа пшено шлифованное,342,"3,3","11,5","66,5"
Крупа рисовая,333,1,7,74
Крупа ячневая,313,"1,3",10,"65,4"
Кус-кус,111,"0,2","3,8","23,1"
Лапша домашняя,322,"3,7",12,"60,1"
Лапшевник с творогом,180,"7,4","7,7","20,3"
Макароны из муки 1 сорта ,333,"1,6","11,2","68,4"
Макароны из муки в/с,338,"1,3",11,"70,5"
Макароны отварные,98,"0,4","3,6",20
Макароны отварные с жиром,135,5,"3,4",19
Макароны яичные,342,"2,1","11,3","69,6"
"Макароны, запеченные с яйцом",152,"8,3","4,6","14,8"
Мука 1 сорта из зерна твердой пшеницы,329,"1,5","11,1","67,8"
Мука 1 сорта из муки высшего сорта,330,"1,3","10,6",69
Мука 2 сорта из муки 1 сорта,322,"1,8","11,6","64,8"
Мука высшего сорта,334,"1,3","10,8","69,9"
Мука кукурузная,331,"1,5","7,2","72,1"
Мука обдирная ржаная,298,"1,7","8,9","61,8"
Мука обойная из муки 2 сорта,312,"2,2","11,5","61,5"
Овсяная каша на молоке,84,3,"5,7","13,8"
Оладьи из муки 1 сорта,213,"6,6","6,5","31,6"
Отварной белый рис,116,"0,5","2,2","24,9"
Отварной дикий рис,100,"0,3",4,"21,1"
Отварной коричневый рис,110,"0,9","2,6","22,8"
Пампушки с чесноком из муки 1 сорта,299,"3,3","8,6","58,8"
Печенье сахарное из муки 1 сорта,407,"9,4","7,4","73,1"
Печенье сахарное из муки высшего сорта,417,"9,8","7,5","74,4"
Печенье сдобное из муки высшего сорта,451,"16,8","6,4","68,5"
Пирожки печеные простые из муки 1 сорта,250,"7,3","12,7","33,2"
Пряники сырцовые из муки высшего сорта,346,"2,1","6,3","75,6"
Пудинг рисовый,202,"5,7","5,6",32
Рожки к чаю из муки высшего сорта,312,"5,6","8,4","56,8"
Сдоба обыкновенная из муки 1 сорта,301,"5,3","8,1","54,9"
Семя льна,534,"42,2","18,3","28,9"
Соломка сладкая из муки 1 сорта,372,"6,1","9,1","69,3"
Суп харчо с мясом и рисом,75,"4,5","3,1","5,5"
Суп перловый с грибами,43,"1,2","1,6","6,4"
Суп пшенный с мясом,57,"2,2","2,9","6,4"
Суп рисовый,38,"1,1","0,9","6,2"
Суп-пюре из рисовой крупы,48,"1,3","1,4","7,7"
Сухари сливочные из муки высшего сорта,399,"10,8","8,5","66,7"
Сушки простые из муки 1 сорта,331,"1,3","10,9","68,8"
Сушки простые из муки высшего сорта,339,"1,2","10,7","71,2"
Хлеб зерновой (мука в/с и зерно дробленое),228,"1,4","8,6","45,1"
Хлеб паляница из муки 1 сорта,243,1,"8,3","49,9"
Хлеб подовый (из обдирной ржаной муки),197,"1,2","6,1","39,9"
Хлеб подовый (из сеяной ржаной муки),210,1,"4,9","44,8"
Хлеб подовый из муки 2 сорта,228,"1,3","8,6","45,2"
Хлеб подовый из обойной муки,208,"1,5",8,"40,1"
Хлеб пшеничный подовый из муки 1 сорта,235,1,"7,9","48,3"
Хлеб соловецкий (мука 1 и 2 сорта),237,"1,2","8,3","47,9"
Хлеб формовой (из обойной ржаной муки),174,"1,2","6,6","33,4"
Хлопья «Геркулес» овсяные,352,"6,2","12,3","61,8"
Агар,12,0,2,"0,8"
Вафли с жировыми начинками,542,"30,6","3,9","62,5"
Вафли с фруктово-ягодными начинками,354,"3,3","2,8","77,3"
Глазурь жировая,547,"37,2","3,9","48,9"
Глазурь шоколадная,542,"34,5","4,9","52,5"
Драже сахарное,393,0,0,"97,7"
"Зeфир, глазированный шоколадом",396,"12,3","2,2","68,4"
Зефир,326,"0,1","0,8","79,8"
Ирис полутвердый,408,"7,6","3,3","81,5"
Ирис тираженный с орехом,443,"15,9","6,6","68,2"
Какао велла,147,"4,5",15,11
Какао тертое,559,"49,4","13,5","13,6"
Какао-порошок,289,15,"24,3","10,2"
Карамель глазированная,378,"0,8",1,"92,9"
Карамель леденцовая,384,0,0,"95,8"
Карамель с молочной начинкой,377,1,"0,8","91,2"
Карамель с фруктово-ягодной начинкой,371,"0,1","0,1","92,4"
Карамель с шоколадно-ореховой начинкой,427,8,"1,6","87,1"
Конфеты помадные,445,"16,2","3,7","70,9"
Конфеты шоколадные,491,"26,3",4,"59,2"
Крахмал картофельный,313,0,"0,1","78,2"
Крахмал кукурузный,343,"0,6",1,"83,5"
Мармелад желейный,349,"9,2","1,5","64,2"
Мед пчелиный,321,0,"0,1","79,4"
Мука из зародышей пшеницы,328,0,"0,8","80,3"
Пастила,335,"7,7","33,8","32,7"
"Пастила, глазированная шоколадом",324,0,"0,5",80
Патока кукурузная,402,12,"1,9","70,9"
Пектин,316,"0,3",0,"78,3"
Пирожное бисквитное с белковым кремом,52,0,"3,5","9,3"
Пирожное вафельное молочное,336,"7,3","4,4","63,1"
Пирожное воздушное с кремом,572,"36,7","4,8","55,3"
Пирожное заварное с кремом (трубочка),440,"20,8","2,6","60,5"
Пирожное крошковое,433,"24,5","4,4","48,8"
Пирожное миндальное,388,"19,4","5,9","47,5"
Пирожное песочное с кремом,433,"16,2","8,5","63,2"
Пирожное слоеное с белковым кремом,485,"28,2","5,1","52,1"
Плитки кондитерские,461,26,"6,1","50,6"
Плитки кондитерские сладкие,537,"34,6","7,8","48,1"
Повидло морковное,552,"34,2","6,2","54,5"
Подварка апельсиновая,282,"0,4","0,5","65,8"
Подварка кабачковая,268,"0,1","0,4","66,3"
Подварка морковная,272,"0,1","0,2","67,2"
Подварка свекольная,271,"0,4","0,5","65,8"
Пралине с ржаной мукой,269,"0,1","0,5","65,9"
"Пралине с соевой мукой (*раффинозы и стахиозы менее 0,3%)",567,"37,7","4,7",52
Рожь молотая жареная,535,"32,2","9,9","51,2"
Ром-баба,322,"1,7","7,9","68,7"
"Рулет бисквитный (производства ""Рошен"")",291,"4,2",4,"60,6"
Сахар-песок,380,"16,3","3,3","54,1"
Сахар-рафинад,387,0,0,"99,9"
Сироп из шиповника,400,0,0,"99,9"
Торт бисквитный с фруктовой начинкой,285,0,"0,2","70,5"
Торт миндальный,285,"2,6","3,9","61,3"
Торт слоеный,468,"28,7","7,8","44,6"
Фосфатидный концентрат соевый,542,"37,7","8,5","42,2"
Халва тахинно-арахисовая,843,"93,7",0,0
Халва тахинно-шоколадная,502,"29,2","12,7",47
Цукаты морковные,498,"28,1","12,8","48,4"
Чурчхела,300,"0,2","2,9","70,5"
Шикозин,410,15,5,"6,3"
Шоколад молочно-ореховый,897,"99,6","0,2",0
Шоколад молочно-ореховый с изюмом,542,"33,9","7,5","51,3"
Шоколад горький,500,"30,3",8,"48,2"
Шоколад молочный,539,"35,4","6,2","48,2"
Шоколад ореховый,554,"34,7","9,8","50,4"
Шоколад полугорький,534,"33,8","7,3","49,7"
Шоколад сладкий,549,"35,4","4,5","52,5"
Шоколад сливочный,550,34,3,"57,6"
Шоколадная паста,560,"35,5","6,3","53,7"
"Cливки пастеризованные 20,0% жирности",536,"30,6","8,2","56,6"
Бри,77,"3,2","2,8","8,6"
"Варенец 2,5% жирности",802,66,50,1
Гауда,53,"2,5","2,9","4,1"
Дор Блю,356,27,25,2
"Йогурт плодово-ягодный, 1,5% жирности",353,29,21,2
"Йогурт сладкий 3,2% жирности",90,"1,5",4,"14,3"
Какао со сгущенным молоком и сахаром,92,6,5,"3,5"
Камамбер,321,"7,5","8,2","51,6"
"Кефир 1,0% жирности",300,24,20,0
Кефир нежирный,40,1,3,4
"Кефир 2,5% жирности",31,"0,1",3,4
"Кефир 3,2% жирности",53,"2,5","2,9",4
Кофе натуральный со сгущенным молоком ,59,"3,2","2,9",4
"Молоко пастеризованное 3,5% жирности",345,23,"7,1","27,1"
"Молоко пастеризованное, 1,5% жирности",62,"3,5","2,9","4,7"
"Молоко пастеризованное, 2,5% жирности",45,"1,5",3,"4,8"
Молоко сгущенное нежирное,54,"2,5","2,9","4,8"
"Молоко стерилизованное 3,2% жирности",71,"0,2","6,6","10,8"
"Молоко стерилизованное 3,5% жирности",60,"3,2",3,"4,7"
"Молоко стерилизованное, 1,5% жирности",63,"3,5",3,"4,7"
"Молоко стерилизованное, 2,5% жирности",45,"1,5",3,"4,8"
"Молоко стерилизованное, «Можайское» 3,0% жирности",54,"2,5","2,9","4,8"
Молоко топленое нежирное,58,3,"2,9","4,7"
"Молоко топленое 4,0% жирности",32,"0,1",3,5
Молоко «Дружба» сгущенное с сахаром,67,4,"2,9","4,7"
Молоко «Славянское» сгущенное с сахаром нежирное,271,"2,5","7,4","54,6"
Молоко белковое,261,"0,2","7,4","57,1"
"Молоко пастеризованное 3,2% жирности",52,1,"4,3","6,4"
Молоко пастеризованное нежирное,60,"3,2","2,9","4,7"
Молоко сгущенное с сахаром нежирное,32,"0,1",3,"4,9"
"Молоко сгущенное с сахаром 8,5% жирности",259,"0,2","7,5","56,8"
"Молоко сгущенное с сахаром, 5,0% жирности",328,"8,5","7,2","55,5"
"Молоко сгущенное стерилизованное 7,8% жирности",295,5,"7,1","55,2"
"Молоко сухое """"Смоленское"""" 15,0% жирности",138,"7,8","6,4","10,3"
Молоко сухое нежирное,432,15,"28,5","44,7"
"Молоко сухое цельное 25,0% жирности",362,1,"33,2","52,6"
"Молоко топленое 1,0% жирности",483,25,"24,2","39,3"
Молочное мороженое,40,1,3,"4,8"
Мороженое молочное в шоколадной глазури,132,"3,5","3,7","21,3"
Мороженое молочное крем-брюле,231,15,"3,2","20,6"
Мороженое молочное с плодами и ягодами,138,"3,5","3,7","22,9"
Мороженое молочное шоколадное,124,"2,8","3,2","21,2"
Мороженое пломбир,133,"3,7","3,6","21,2"
Мороженое пломбир в шоколадной глазури,232,15,"3,7","20,4"
Мороженое пломбир крем-брюле,310,24,"3,2","20,1"
Мороженое пломбир с плодами и ягодами,240,15,"3,7","22,4"
Мороженое пломбир шоколадный,206,12,"3,2","21,1"
Мороженое сливочное,231,15,"3,6","20,4"
Мороженое сливочное в шоколадной глазури,183,10,"3,7","19,4"
Мороженое сливочное крем-брюле,271,20,"3,2","19,4"
Мороженое сливочное с плодами и ягодами,191,10,"3,7","21,4"
Мороженое сливочное шоколадное,166,8,"3,2","20,1"
Моцарелла,185,10,"3,6",20
"Напиток «Снежок» 2,5% жирности",300,22,22,21
"Напиток «Снежок», плодово-ягодный 1,0% жирности",79,"2,5","2,7","10,8"
"Напиток «Юбилейный», 1,0% жирности",69,1,"2,7","12,2"
"Напиток «Юбилейный», 2,5% жирности",40,1,3,"4,1"
"Напиток «Юбилейный», плодово-ягодный, 2,5% жирности",53,"2,5","2,9","4,1"
"Напиток плодово-ягодный, 1,0% жирности",84,"2,5","2,6","12,2"
"Напиток кисломолочный, «Бифидин» 2,5% жирности",71,1,"2,7","12,2"
Пармезан тертый,61,"2,5","3,4","5,5"
"Паста ацидофильная, сладкая 8,0% жирности",431,29,38,4
"Паста ацидофильная, сладкая, нежирная",203,8,"6,6","25,5"
Паста молочная белковая,81,"0,2","5,5","13,5"
"Паста ацидофильная 4,0% жирности",57,"0,2",11,2
Пахта «Идеал» пастеризованная,143,4,"5,5","20,5"
"Пахта «Идеал», сквашенная",41,1,"3,3","4,7"
"Продукт кисломолочный «Тонус» 2,5% жирности",40,1,"3,3","3,8"
"Простокваша цитрусовая, 1,0% жирности",53,"2,5","2,9","4,1"
"Простокваша 1,0% жирности",63,1,"2,7","10,1"
"Простокваша 2,5% жирности",40,1,3,"4,1"
"Простокваша 3,2% жирности",53,"2,5","2,9","4,1"
"Простокваша «Мечниковская» 4,0% жирности",59,"3,2","2,9","4,1"
"Простокваша «Цитрусовая» 2,5% жирности",66,4,"2,8","4,1"
Простокваша нежирная,76,"2,5","2,6","10,1"
Пудинг из творога (творог п/жирный),30,"0,1",3,"3,8"
Рикотта,224,"9,6","13,9","20,1"
"Ряженка 1,0% жирности",174,13,11,3
"Ряженка 2,5% жирности",40,1,3,"4,2"
"Ряженка 4,0% жирности",54,"2,5","2,9","4,2"
"Ряженка 6,0% жирности",67,4,"2,8","4,2"
"Сливки пастеризованные 10,0% жирности",85,6,3,"4,1"
"Сливки пастеризованные 8,0% жирности",119,10,"2,7","4,5"
"Сливки стерилизованные 10,0% жирности",102,8,"2,8","4,5"
"Сливки пастеризованные 35,0% жирности",119,10,"2,7","4,4"
"Сливки сгущеные с сахаром 19,0% жирности",337,35,"2,2","3,2"
"Сливки стерилизованные 25,0% жирности",392,19,8,47
"Сливки сухие 42,0% жирности",251,25,"2,4","3,9"
"Сметана 10,0% жирности",577,42,19,"30,2"
"Сметана 15,0% жирности",119,10,"2,7","3,9"
"Сметана 20,0% жирности",162,15,"2,6","3,6"
"Сметана 25,0% жирности",206,20,"2,5","3,4"
"Сметана 30,0% жирности",250,25,"2,4","3,2"
"Сметана «Домашняя» 10,0% жирности",293,30,"2,3","3,1"
Суп молочный с макаронами,130,10,"3,8","5,6"
Суп молочный с рисом,58,"1,9","2,2","7,9"
Суп молочный с тыквой и манной крупой,54,"1,9","1,8","7,3"
Суп молочный с белокочанной капустой,50,"2,2",2,"5,4"
"Сыр домашний 4,0% жирности",54,2,2,"6,8"
Сыр домашний нежирный,113,4,17,"1,5"
Сыр плавленый «Золушка»,86,"0,6",18,"1,5"
Сыр плавленый «Костромской»,254,"10,8","15,2","23,8"
Сыр плавленый «Медовый»,269,"19,2","21,4","2,3"
Сыр плавленый «Мятный»,291,"16,5","6,1","29,4"
Сыр плавленый «Российский»,335,"19,1","7,9","32,7"
Сыр плавленый «Сказка»,300,23,"20,5","2,5"
Сыр плавленый «Сластена»,316,18,"12,2","26,1"
Сыр плавленый копченый «Колбасный»,269,"11,4",13,"28,4"
Сыр сычужный мягкий «Адыгейский»,275,"19,4","21,2","3,7"
Сыр сычужный мягкий «Рокфор»,264,"19,8","19,8","1,5"
Сыр сычужный мягкий «Русский камамбер»,335,"27,5","20,5",0
Сыр сычужный полутвердый «Литовский»,324,"28,8","15,3","0,1"
Сыр сычужный полутвердый «Прибалтийский»,250,"14,7","27,9",0
Сыр сычужный рассольный «Брынза» из коровьего молока,207,9,"29,8",0
Сыр сычужный рассольный «Брынза» из овечьего молока,262,"19,2","22,1","0,4"
Сыр сычужный рассольный «Сулугуни»,260,"18,8","21,1","0,3"
Сыр сычужный твердый «Голландский» (круглый),286,22,"20,5","0,4"
Сыр сычужный твердый «Бийский»,375,"30,4","23,7",0
Сыр сычужный твердый «Голландский» (брусковый),371,"29,9","24,2",0
Сыр сычужный твердый «Костромской»,350,"26,6","26,3",0
Сыр сычужный твердый «Латвийский»,343,"26,1","25,6",0
Сыр сычужный твердый «Пошехонский»,316,"24,1","23,3",0
Сыр сычужный твердый «Российский»,344,"26,1",26,0
Сыр сычужный твердый «Советский»,364,"29,5","23,2",0
Сыр сычужный твердый «Сусанинский»,385,"31,1","24,4",0
Сыр сычужный твердый «Угличский»,315,"23,9","23,8",0
Сыр сычужный твердый «Чеддер»,347,"26,3","25,8",0
Сыр сычужный твердый «Швейцарский»,380,"30,8","23,5",0
Сыр сычужный твердый «Ярославский»,391,"31,6","24,6",0
"Сырки глазированные с ванилином 10,9% жирности",350,"26,6","26,2",0
"Сырки глазированные с ванилином 27,7% жирности",270,"10,9","9,4","33,1"
"Сырки и масса творожная «Цитрон» сладкие, 8,0% жирности",413,"27,7","7,9","32,6"
"Сырки и масса творожная сладкая с ванилином 16,5% жирности",181,8,15,"11,5"
"Сырки творожные детские 23,0% жирности",283,"16,5",12,"9,5"
Сырники из творога (творог нежирный),319,23,"9,1","18,5"
Сырники из творога и картофеля,183,"3,6","18,6","18,2"
Сырники с морковью,180,"7,7","11,9","15,2"
"Творог «Столовый» 2,0% жирности",232,"11,5","12,9","18,8"
"Творог мягкий диетический 4,0% жирности",114,2,20,3
"Творог мягкий диетический, нежирный",136,4,21,3
"Творог мягкий диетический, нежирный плодово-ягодный",110,"0,6",22,"3,3"
Творог нежирный,138,"0,5","18,2",14
"Творог полужирный 9,0% жирности",110,"0,6",22,"3,3"
"Творог «Крестьянский» 5,0% жирности",169,9,18,3
"Творог жирный 18,0% жирности",145,5,21,3
"Творог мягкий диетический 11,0% жирности",236,18,15,"2,8"
"Творог мягкий диетический, плодово-ягодный, 4,0% жирности",178,11,16,3
Творожная масса с изюмом,164,4,"17,3","13,7"
Тильзитер,343,"21,6","6,8","29,9"
Фета,340,26,24,2
Чеддер,264,21,14,4
Эдам,403,33,25,1
«Армавирская» полукопченая колбаса,357,28,25,1
«Брауншвейгская» сырокопченая колбаса,423,"40,1","15,1","0,3"
«Говяжья» вареная колбаса,491,"42,2","27,7","0,2"
«Диетическая» вареная колбаса,165,"11,7",15,"0,2"
«Докторская» вареная колбаса,170,"13,5","12,1",0
«Дорожная» сырокопченая колбаса,257,"22,2","12,8","1,5"
«Зеленоградская» с мясом утки вареная колбаса,498,"47,7",17,"0,4"
«Зернистая» сырокопченая колбаса,187,"12,1","17,2","2,2"
«Любительская» вареная колбаса,606,"62,8","9,9","0,3"
«Любительская» варено-копченая колбаса,301,28,"12,2","0,1"
«Молочная» вареная колбаса,420,39,"17,2","0,2"
«Молочные» сосиски,252,"22,8","11,7","0,2"
«Московская» варено-копченая колбаса,261,"23,9",11,"0,4"
«Одесская» полукопченая колбаса,406,"36,6","19,1","0,2"
«Олимпийская» сырокопченая колбаса,402,"38,1","14,8","0,3"
«Отдельная» вареная колбаса,436,"39,1","21,1","0,4"
«Охотничьи» полукопченые колбаски,240,11,11,"1,7"
«Подмосковная» с куриным мясом вареная колбаса,463,40,"25,3","0,3"
«Русская» вареная колбаса,180,"11,6","17,2","1,7"
«Русские» сосиски,302,11,"11,5","1,7"
«Свиная» вареная колбаса,250,22,"11,3","1,7"
«Свиная» сырокопченая колбаса,277,"25,8","10,8","0,5"
«Сервелат» сырокопченая колбаса,566,57,13,"0,2"
«Столичные» сосиски,461,"40,5",24,"0,2"
«Столовая» вареная колбаса,234,"20,3","12,2","0,5"
«Таллинская» полукопченая колбаса,234,"20,2","11,1","1,8"
«Телячья» вареная колбаса,373,"33,8","17,1","0,2"
«Чайная» вареная колбаса,308,"28,3","13,2","0,3"
Азу из говядины,216,"18,4","11,7","1,7"
Антрекот из говядины,103,4,"6,3","10,2"
Баранина жареная по 1-396,220,"11,2","29,6",0
Баранина отварная по 1-392,264,"19,4","22,4",0
Баранина тушеная по 1-422,244,"17,4","21,8",0
"Баранина 1 кат,",170,"12,7","10,3","3,6"
"Баранина 2 кат,",209,"16,3","15,6",0
Баранина сырая,166,"9,6","19,8",0
Бедро курицы без кожи сырое,314,"24,4",22,0
Бедро курицы с кожей сырое,207,"10,8","25,7",0
Белое мясо индейки сырое,245,"15,4","24,9",0
Бефстроганов из говядины,115,2,24,0
Биточки паровые из говядины,193,"11,3","16,7","5,9"
Биточки паровые из мяса кур,192,"10,8","14,5","9,1"
Биточки с рисом из говядины,176,"7,2","18,6","9,3"
Бифштекс из говядины с яйцом,144,"5,5",5,"18,5"
Бифштекс из говядины,275,"20,8","21,5","0,4"
Бифштекс из говядины рубленый,216,"11,2","29,2",0
"Бройлеры (цыплята) 1 кат,",306,"25,6","18,4",0
"Бройлеры (цыплята) 2 кат,",220,"16,1","18,7",0
Бутерброд с «любительской» вареной колбасой,180,"11,2","19,7",0
Бутерброд с отварной говядиной,220,"14,3","8,5","14,2"
Вареная колбаса «Для завтрака»,122,"3,7","7,6","14,2"
Вареники ленивые отварные,187,"13,9",13,"2,4"
Говядина жареная,173,7,"13,2","13,8"
Говядина отварная,168,6,"28,4",0
Говядина тушеная,254,"16,8","25,8",0
"Говядина 1 кат,",116,"5,4","13,6","3,3"
"Говядина 2 кат,",218,16,"18,6",0
Говяжий фарш сырой,168,"9,8",20,0
Говяжий язык отварной,254,20,"17,2",0
Говяжье сердце тушеное в соусе,231,15,24,"2,7"
Говяжьи сардельки,113,"6,3","10,3",5
Говяжьи сосиски,215,"18,2","11,4","1,3"
Голень куриная без кожи сырая,226,"20,1","10,4","0,8"
Голень куриная с кожей сырая,171,"5,6","28,1",0
Голубцы говяжьи,214,"11,1","26,8",0
Грудинка свиная сырая,111,"4,9","8,5","8,4"
Грудинка свиная сырая,458,45,12,1
Грудинка свинины копчено-запеченная,458,45,12,1
Грудинка свинины сырокопченая,514,"52,7",10,0
Грудка курицы без кожи сырая,605,"63,3","8,9",0
Грудка курицы с кожей сырая,164,"3,5","30,8",0
"Гуси 1 кат,",195,"7,7","29,6",0
"Гуси 2 кат,",412,39,"15,2",0
Диабетическая вареная колбаса,317,"27,7",17,0
Духовая говядина,254,"22,8","12,1",0
Жаркое по-домашнему из говядины,104,"3,8","6,6","10,7"
Желудок курицы сырой,108,4,"6,5","11,1"
Зразы рубленые из говядины,94,2,18,0
Индейка жареная,244,"15,7","12,1","13,1"
Индейка отварная,280,"20,7","23,4","0,1"
Индейка целиком сырая,273,"19,8","23,6",0
"Индейки 1 кат,",187,7,"28,9",0
"Индейки 2 кат,",276,22,"19,5",0
Кожа курицы сырая,194,12,"21,6",0
"Конина 1 кат,",450,"40,3","20,2",0
"Конина 2 кат,",167,"9,9","19,5",0
Консервы «Завтрак туриста» из баранины,121,"4,1","20,9",0
Консервы «Завтрак туриста» из говядины,210,"15,2",18,"0,2"
Консервы «Завтрак туриста» из свинины,217,"14,9","20,5","0,2"
Консервы «Паштет мясной» из говядины,347,31,"16,9","0,2"
Консервы «Паштет печеночный»,275,"23,3","16,1","0,4"
Консервы из бараньего гуляша,301,"28,1","11,6","3,4"
Консервы из говядины в белом соусе,213,"15,6","14,2","3,9"
Консервы из говяжьего гуляша,220,"14,8",18,"3,6"
Консервы из говяжьего языка в желе,212,"14,3","16,8","3,9"
Консервы из жирной свинины,212,"13,6","22,4","2,4"
Консервы из колбасного куриного фарша,486,"48,9","11,5",0
Консервы из курицы в собственном соку,200,"15,6",15,0
Консервы из особой ветчины,183,"9,9","23,2","0,4"
Консервы из отварной говядины в собственном соку,126,"6,2","17,6",0
Консервы из свиного гуляша,214,"16,9","15,4",0
Консервы из свиного сосисочного фарша,333,"29,4","13,1","3,9"
Консервы из тушеной баранины,244,"20,4","10,6","4,3"
Консервы из тушеной говядины,191,"13,4","17,4","0,2"
Консервы из тушеной свинины,220,17,"16,8","0,2"
Консервы из утки в собственном соку,349,"32,2","14,9","0,2"
Корейка свинины копчено-запеченная,223,"17,5",16,"0,3"
Корейка свинины сырокопченая,475,"48,2","10,2",0
Котлета свиная сырая,469,"47,4","10,5",0
Котлеты из индейки,238,"13,4","27,3",0
Котлеты куриные,220,"12,2","18,6","8,7"
Котлеты отбивные из баранины,222,"10,4","18,2","13,8"
Котлеты отбивные из свинины,394,"30,6","20,6","9,1"
Котлеты рубленые из баранины,470,"40,3","17,5","8,8"
Котлеты рубленые из говядины,240,"14,8","13,6","12,9"
Котлеты рубленые из мяса цыплят,213,"11,4","14,2",13
